"x" "y"
"295" 4116778.69448953 3095068.09748903
"296" 4117583.50587409 3094378.12644415
"297" 4117583.50587409 3094378.12644415
"298" 4100120.895921 3094943.81926608
"299" 4097178.94723996 3111225.96661891
"300" 4097178.94723996 3111225.96661891
"301" 4101828.79208621 3094649.63714658
"302" 4101499.89799611 3094676.70448698
"303" 4101828.79208621 3094649.63714658
"304" 4101828.79208621 3094649.63714658
"305" 4101828.79208621 3094649.63714658
"306" 4102057.8747332 3094299.5542148
"307" 4103343.99314312 3094234.56702498
"308" 4104129.32969473 3094711.49904802
"309" 4104129.32969473 3094711.49904802
"310" 4105226.51565356 3094052.51331318
"311" 4106212.34040551 3094340.61072278
"312" 4106212.34040551 3094340.61072278
"313" 4106212.34040551 3094340.61072278
"314" 4107794.64489084 3094520.48261357
"315" 4108439.91174999 3094229.62107414
"316" 4109387.17445481 3094353.77312723
"317" 4110049.12414784 3094479.77957539
"318" 4111349.35407871 3093463.89977049
"319" 4112221.34667316 3094210.32895202
"320" 4112883.98049639 3094173.1199132
"321" 4113881.15696963 3094192.58627281
"322" 4115512.34735256 3093675.97618167
"323" 4115512.34735256 3093675.97618167
"324" 4115978.01449385 3093932.73953
"325" 4117416.17867068 3093185.68165706
"326" 4117983.55361376 3093345.51302371
"327" 4101641.56609796 3093673.30777557
"328" 4101641.56609796 3093673.30777557
"329" 4102483.16112862 3093533.56083487
"330" 4103020.51995666 3093143.59349138
"331" 4103020.51995666 3093143.59349138
"332" 4104774.71497071 3093689.32272847
"333" 4104137.49460531 3093587.32774567
"334" 4104137.49460531 3093587.32774567
"335" 4104137.49460531 3093587.32774567
"336" 4104002.80931643 3093584.66018342
"337" 4104002.80931643 3093584.66018342
"338" 4104002.80931643 3093584.66018342
"339" 4104002.80931643 3093584.66018342
"340" 4105133.22543804 3093124.15018683
"341" 4106385.79748745 3092809.01622351
"342" 4106657.99341422 3092820.71078163
"343" 4106607.83339753 3093322.34227748
"344" 4106665.44638029 3093520.26795114
"345" 4107663.15040851 3093321.86391438
"346" 4109583.24887215 3093189.19652008
"347" 4109923.59064957 3093100.49317868
"348" 4111202.47695411 3092611.27903112
"349" 4113717.47502225 3092912.91272635
"350" 4114704.73466709 3092545.86268474
"351" 4115407.05791442 3092901.98594153
"352" 4117331.41896264 3093024.13786893
