"x" "y"
"181" 4023283.35923179 2940043.20422911
"182" 4023283.35923179 2940043.20422911
"183" 4023283.35923179 2940043.20422911
"184" 4023402.56779428 2939972.36427876
"185" 4023402.56779428 2939972.36427876
"186" 4023402.56779428 2939972.36427876
"187" 4024279.59690726 2940042.75998883
"188" 4024279.59690726 2940042.75998883
"189" 4024279.59690726 2940042.75998883
"190" 4025465.79045352 2940442.54312371
"191" 4026770.75676301 2939460.50036077
"192" 4027054.21208745 2940132.24175491
"193" 4027212.78427736 2940068.22510554
"194" 4028987.04062412 2939958.66519814
"195" 4028987.04062412 2939958.66519814
"196" 4028987.04062412 2939958.66519814
"197" 4028987.04062412 2939958.66519814
"198" 4029422.24797877 2948185.37154017
"199" 4029422.24797877 2948185.37154017
"200" 4029422.24797877 2948185.37154017
"201" 4029834.00551059 2939805.27729412
"202" 4029834.00551059 2939805.27729412
"203" 4029834.00551059 2939805.27729412
"204" 4029834.00551059 2939805.27729412
"205" 4029834.00551059 2939805.27729412
"206" 4030370.18308224 2939294.73978997
"207" 4030370.18308224 2939294.73978997
"208" 4030370.18308224 2939294.73978997
"209" 4030370.18308224 2939294.73978997
"210" 4030370.18308224 2939294.73978997
"211" 4031577.19226711 2939778.94541741
"212" 4031577.19226711 2939778.94541741
"213" 4031577.19226711 2939778.94541741
"214" 4031577.19226711 2939778.94541741
"215" 4031577.19226711 2939778.94541741
"216" 4031577.19226711 2939778.94541741
"217" 4031414.79054924 2939241.73319769
"218" 4031414.79054924 2939241.73319769
"219" 4031414.79054924 2939241.73319769
"220" 4032766.13234052 2939784.57347168
"221" 4033980.30666869 2939067.67930161
"222" 4033980.30666869 2939067.67930161
"223" 4033980.30666869 2939067.67930161
"224" 4033980.30666869 2939067.67930161
"225" 4033980.30666869 2939067.67930161
"226" 4033578.51251882 2939851.93380199
"227" 4033578.51251882 2939851.93380199
"228" 4033288.01008846 2939614.32329593
"229" 4033818.92292013 2939481.83209143
"230" 4033818.92292013 2939481.83209143
"231" 4033818.92292013 2939481.83209143
"232" 4034134.69342575 2939734.78119633
"233" 4034134.69342575 2939734.78119633
"234" 4034134.69342575 2939734.78119633
"235" 4034134.69342575 2939734.78119633
"236" 4035529.26627884 2939030.85508848
"237" 4035529.26627884 2939030.85508848
"238" 4035529.26627884 2939030.85508848
"239" 4037434.07572255 2939456.87754728
"240" 4037434.07572255 2939456.87754728
"241" 4037434.07572255 2939456.87754728
"242" 4038238.47017229 2939013.07517229
"243" 4031884.88360182 2947829.52993706
"244" 4032269.70886348 2948158.23434192
"245" 4032269.70886348 2948158.23434192
